Family,Genus,Species,Comun Name,Number of recordings
Cotingidae,Cotinga,Cotinga cotinga,Purple-breastedCotinga,1
Cotingidae,Gymnoderus,Gymnoderus foetidus,Bare-neckedFruitcrow,1
Thraupidae,Dacnis,Dacnis viguieri,ViridianDacnis,1
Thraupidae,Bangsia,Bangsia arcaei,Blue-and-goldTanager,1
Furnariidae,Margarornis,Margarornis bellulus,BeautifulTreerunner,1
Cotingidae,Cotinga,Cotinga nattererii,BlueCotinga,2
Cotingidae,Carpodectes,Carpodectes hopkei,Black-tippedCotinga,2
Thraupidae,Tangara,Tangara fucosa,Green-napedTanager,2
Polioptilidae,Polioptila,Polioptila facilis,RioNegroGnatcatcher,2
Passerellidae,Chlorospingus,Chlorospingus inornatus,PirreBushTanager,2
Furnariidae,Siptornis,Siptornis striaticollis,SpectacledPrickletail,3
Icteridae,Psarocolius,Psarocolius guatimozinus,BlackOropendola,3
Cotingidae,Snowornis,Snowornis cryptolophus,OlivaceousPiha,3
Estrildidae,Lonchura,Lonchura malacca,TricoloredMunia,3
Polioptilidae,Polioptila,Polioptila guianensis,GuiananGnatcatcher,3
Fringilidae,Spinus,Spinus yarrellii,Yellow-facedSiskin,3
Passerellidae,Chlorospingus,Chlorospingus tacarcunae,TacarcunaBushTanager,3
Cotingidae,Cotinga,Cotinga maynana,Plum-throatedCotinga,4
Cotingidae,Haematoderus,Haematoderus militaris,CrimsonFruitcrow,4
Pipridae,Chloropipo,Chloropipo flavicapilla,Yellow-headedManakin,4
Tyrannidae,Pseudocolopteryx,Pseudocolopteryx acutipennis,SubtropicalDoradito,5
Pipridae,Corapipo,Corapipo leucorrhoa,White-bibbedManakin,5
Thraupidae,Paroaria,Paroaria nigrogenis,MaskedCardinal,5
Thraupidae,Thlypopsis,Thlypopsis fulviceps,Fulvous-headedTanager,5
Furnariidae,Furnarius,Furnarius torridus,BayHornero,5
Cinclidae,Cinclus,Cinclus leucocephalus,White-cappedDipper,6
Hirundinidae,Tachycineta,Tachycineta cyaneoviridis,BahamaSwallow,6
Furnariidae,Drymotoxeres,Drymotoxeres pucheranii,GreaterScythebill,6
Turdidae,Catharus,Catharus dryas,Yellow-throatedNightingale-Thrush,6
Cotingidae,Cotinga,Cotinga cayana,SpangledCotinga,6
Tyrannidae,Phylloscartes,Phylloscartes flavovirens,PanamanianTyrannulet,6
Tyrannidae,Phelpsia,Phelpsia inornata,White-beardedFlycatcher,6
Cotingidae,Porphyrolaema,Porphyrolaema porphyrolaema,Purple-throatedCotinga,6
Tyrannidae,Myiarchus,Myiarchus venezuelensis,VenezuelanFlycatcher,6
Thraupidae,Tangara,Tangara chrysotis,Golden-earedTanager,6
Tyrannidae,Zimmerius,Zimmerius improbus,SpectacledTyrannulet,6
Thraupidae,Cyanerpes,Cyanerpes lucidus,ShiningHoneycreeper,6
Cotingidae,Doliornis,Doliornis remseni,Chestnut-belliedCotinga,7
Icteridae,Cacicus,Cacicus sclateri,EcuadorianCacique,8
Icteridae,Icterus,Icterus leucopteryx,JamaicanOriole,8
Tyrannidae,Rhynchocyclus,Rhynchocyclus fulvipectus,Fulvous-breastedFlatbill,8
Icteridae,Icterus,Icterus auricapillus,Orange-crownedOriole,8
Tyrannidae,Myiarchus,Myiarchus panamensis,PanamanianFlycatcher,9
Cotingidae,Cephalopterus,Cephalopterus ornatus,AmazonianUmbrellabird,9
Thraupidae,Calochaetes,Calochaetes coccineus,VermilionTanager,9
Tyrannidae,Muscisaxicola,Muscisaxicola alpinus,ParamoGroundTyrant,9
Rhinocryptidae,Scytalopus,Scytalopus panamensis,TacarcunaTapaculo,9
Thraupidae,Iridophanes,Iridophanes pulcherrimus,Golden-collaredHoneycreeper,9
Vireonidae,Vireo,Vireo approximans,ProvidenciaVireo,9
Tyrannidae,Muscisaxicola,Muscisaxicola albilora,White-browedGroundTyrant,9
Furnariidae,Pseudocolaptes,Pseudocolaptes lawrencii,BuffyTuftedcheek,9
Onychorhynchidae,Myiobius,Myiobius villosus,Tawny-breastedMyiobius,9
Thraupidae,Sporophila,Sporophila americana,Wing-barredSeedeater,9
Tyrannidae,Cnemarchus,Cnemarchus erythropygius,Red-rumpedBushTyrant,9
Furnariidae,Xenerpestes,Xenerpestes minlosi,Double-bandedGreytail,10
Tyrannidae,Rhynchocyclus,Rhynchocyclus pacificus,PacificFlatbill,10
Passerellidae,Arremon,Arremon crassirostris,Sooty-facedFinch,10
Thraupidae,Thraupis,Thraupis glaucocolpa,GlaucousTanager,10
Thraupidae,Ixothraupis,Ixothraupis xanthogastra,Yellow-belliedTanager,10
Bombycillidae,Bombycilla,Bombycilla cedrorum,CedarWaxwing,11
Tyrannidae,Knipolegus,Knipolegus poecilocercus,AmazonianBlackTyrant,11
Thraupidae,Tangara,Tangara cyanotis,Blue-browedTanager,11
Thamnophilidae,Drymophila,Drymophila caudata,EastAndeanAntbird,11
Thraupidae,Dacnis,Dacnis berlepschi,Scarlet-breastedDacnis,11
Thraupidae,Tangara,Tangara johannae,Blue-whiskeredTanager,11
Icteridae,Psarocolius,Psarocolius cassini,BaudoOropendola,11
Thraupidae,Chrysothlypis,Chrysothlypis chrysomelas,Black-and-yellowTanager,11
Icteridae,Cacicus,Cacicus latirostris,Band-tailedOropendola,12
Troglodytidae,Cantorchilus,Cantorchilus griseus,GreyWren,12
Thraupidae,Dacnis,Dacnis hartlaubi,TurquoiseDacnis,12
Thamnophilidae,Myrmotherula,Myrmotherula behni,Plain-wingedAntwren,12
Thraupidae,Anisognathus,Anisognathus melanogenys,SantaMartaMountainTanager,12
Hirundinidae,Pygochelidon,Pygochelidon melanoleuca,Black-collaredSwallow,12
Thraupidae,Tangara,Tangara florida,EmeraldTanager,12
Fringilidae,Euphonia,Euphonia saturata,Orange-crownedEuphonia,12
Thraupidae,Urothraupis,Urothraupis stolzmanni,Black-backedBushTanager,12
Thamnophilidae,Myrmotherula,Myrmotherula sunensis,RioSunoAntwren,12
Troglodytidae,Troglodytes,Troglodytes monticola,SantaMartaWren,12
Furnariidae,Dendroplex,Dendroplex kienerii,Zimmer'sWoodcreeper,13
Passerellidae,Arremonops,Arremonops tocuyensis,TocuyoSparrow,13
Cotingidae,Pipreola,Pipreola lubomirskii,Black-chestedFruiteater,13
Tityridae,Pachyramphus,Pachyramphus spodiurus,SlatyBecard,13
Tyrannidae,Elaenia,Elaenia pelzelni,BrownishElaenia,13
Tyrannidae,Sirystes,Sirystes albogriseus,ChocoSirystes,13
Thraupidae,Bangsia,Bangsia rothschildi,Golden-chestedTanager,14
Pipridae,Heterocercus,Heterocercus flavivertex,Yellow-crestedManakin,14
Thraupidae,Ixothraupis,Ixothraupis varia,DottedTanager,14
Furnariidae,Margarornis,Margarornis stellatus,Star-chestedTreerunner,14
Thraupidae,Cyanerpes,Cyanerpes nitidus,Short-billedHoneycreeper,14
Thraupidae,Dacnis,Dacnis venusta,Scarlet-thighedDacnis,14
Tyrannidae,Aphanotriccus,Aphanotriccus audax,Black-billedFlycatcher,14
Fringilidae,Euphonia,Euphonia anneae,Tawny-cappedEuphonia,14
Tyrannidae,Polystictus,Polystictus pectoralis,BeardedTachuri,14
Thraupidae,Stilpnia,Stilpnia cyanoptera,Black-headedTanager,14
Polioptilidae,Polioptila,Polioptila schistaceigula,Slate-throatedGnatcatcher,14
Tyrannidae,Elaenia,Elaenia strepera,SlatyElaenia,14
Grallaridae,Grallaria,Grallaria gigantea,GiantAntpitta,14
Thamnophilidae,Xenornis,Xenornis setifrons,SpeckledAntshrike,15
Thraupidae,Creurgops,Creurgops verticalis,Rufous-crestedTanager,15
Thraupidae,Tachyphonus,Tachyphonus phoenicius,Red-shoulderedTanager,15
Tyrannidae,Myiarchus,Myiarchus phaeocephalus,Sooty-crownedFlycatcher,15
Thraupidae,Chlorochrysa,Chlorochrysa calliparaea,Orange-earedTanager,15
Passerellidae,Arremon,Arremon schlegeli,Golden-wingedSparrow,15
Thraupidae,Saltator,Saltator cinctus,MaskedSaltator,15
Thraupidae,Chalcothraupis,Chalcothraupis ruficervix,Golden-napedTanager,15
Furnariidae,Xenops,Xenops tenuirostris,Slender-billedXenops,15
Furnariidae,Thripophaga,Thripophaga cherriei,OrinocoSofttail,15
Tyrannidae,Knipolegus,Knipolegus orenocensis,RiversideTyrant,15
Thraupidae,Tangara,Tangara inornata,Plain-coloredTanager,16
Conopophagidae,Conopophaga,Conopophaga peruviana,Ash-throatedGnateater,16
Conopophagidae,Pittasoma,Pittasoma michleri,Black-crownedAntpitta,16
Furnariidae,Xiphorhynchus,Xiphorhynchus ocellatus,OcellatedWoodcreeper,16
Thamnophilidae,Aprositornis,Aprositornis disjuncta,YapacanaAntbird,16
Furnariidae,Hylexetastes,Hylexetastes stresemanni,Bar-belliedWoodcreeper,16
Thraupidae,Tangara,Tangara lavinia,Rufous-wingedTanager,17
Pipridae,Cryptopipo,Cryptopipo holochlora,GreenManakin,17
Thraupidae,Iridosornis,Iridosornis rufivertex,Golden-crownedTanager,17
Grallaridae,Grallaria,Grallaria urraoensis,UrraoAntpitta,17
Passerellidae,Atlapetes,Atlapetes semirufus,Ochre-breastedBrushfinch,17
Grallaridae,Grallaria,Grallaria saltuensis,PerijaAntpitta,17
Tyrannidae,Muscigralla, Muscigralla brevicauda,Short-tailedFieldTyrant,17
Thraupidae,Sporophila,Sporophila murallae,CaquetaSeedeater,17
Thraupidae,Tangara,Tangara callophrys,Opal-crownedTanager,17
Thamnophilidae,Rhegmatorhina,Rhegmatorhina cristata,Chestnut-crestedAntbird,17
Passerellidae,Atlapetes,Atlapetes tricolor,TricoloredBrushfinch,17
Tyrannidae,Muscisaxicola,Muscisaxicola maculirostris,Spot-billedGroundTyrant,17
Tyrannidae,Satrapa,Satrapa icterophrys,Yellow-browedTyrant,17
Furnariidae,Asthenes,Asthenes perijana,PerijaThistletail,17
Tyrannidae,Zimmerius,Zimmerius cinereicapilla,Red-billedTyrannulet,17
Thraupidae,Bangsia,Bangsia flavovirens,Yellow-greenTanager,17
Thamnophilidae,Frederickena,Frederickena unduliger,UndulatedAntshrike,18
Thraupidae,Chlorochrysa,Chlorochrysa nitidissima,MulticoloredTanager,18
Thamnophilidae,Oneillornis,Oneillornis lunulatus,LunulatedAntbird,18
Thraupidae,Ixothraupis,Ixothraupis guttata,SpeckledTanager,18
Furnariidae,Anabacerthia,Anabacerthia ruficaudata,Rufous-tailedFoliage-gleaner,18
Passerellidae,Arremon,Arremon basilicus,SierraNevadaBrushfinch,18
Thraupidae,Dacnis,Dacnis albiventris,White-belliedDacnis,18
Tyrannidae,Sublegatus,Sublegatus arenarum,NorthernScrubFlycatcher,18
Cotingidae,Cephalopterus,Cephalopterus penduliger,Long-wattledUmbrellabird,18
Furnariidae,Certhiaxis,Certhiaxis mustelinus,Red-and-whiteSpinetail,18
Thraupidae,Sicalis,Sicalis columbiana,Orange-frontedYellowFinch,18
Thraupidae,Tephrophilus,Tephrophilus wetmorei,MaskedMountainTanager,18
Tyrannidae,Myiotheretes,Myiotheretes pernix,SantaMartaBushTyrant,18
Thraupidae,Dacnis,Dacnis lineata,Black-facedDacnis,18
Thraupidae,Rhodospingus,Rhodospingus cruentus,Crimson-breastedFinch,18
Thraupidae,Conirostrum,Conirostrum rufum,Rufous-browedConebill,18
Thraupidae,Conirostrum,Conirostrum leucogenys,White-earedConebill,18
Furnariidae,Dendrocincla,Dendrocincla homochroa,RuddyWoodcreeper,18
Turdidae,Myadestes,Myadestes coloratus,VariedSolitaire,19
Thraupidae,Bangsia,Bangsia aureocincta,Gold-ringedTanager,19
Furnariidae,Premnornis,Premnornis guttuliger,Rusty-wingedBarbtail,19
Tityridae,Laniocera,Laniocera rufescens,SpeckledMourner,19
Passerellidae,Arremon,Arremon perijanus,PerijaBrushfinch,19
Cotingidae,Lipaugus,Lipaugus fuscocinereus,DuskyPiha,19
Thraupidae,Chrysothlypis,Chrysothlypis salmoni,Scarlet-and-whiteTanager,20
Tyrannidae,Agriornis,Agriornis albicauda,White-tailedShrike-Tyrant,20
Thraupidae,Conirostrum,Conirostrum margaritae,Pearly-breastedConebill,20
Tyrannidae,Agriornis,Agriornis montanus,Black-billedShrike-Tyrant,20
Motacillidae,Anthus,Anthus bogotensis,ParamoPipit,20
Grallaridae,Grallaria,Grallaria spatiator,SierraNevadaAntpitta,20
Tyrannidae,Elaenia,Elaenia gigas,Mottle-backedElaenia,20
Thraupidae,Thlypopsis,Thlypopsis ornata,Rufous-chestedTanager,20
Hirundinidae,Progne,Progne elegans,SouthernMartin,20
Estrildidae,Lonchura,Lonchura atricapilla,ChestnutMunia,20
Corvidae,Cyanocorax,Cyanocorax heilprini,Azure-napedJay,20
Furnariidae,Microxenops,Microxenops milleri,Rufous-tailedXenops,20
Tyrannidae,Serpophaga,Serpophaga cinerea,TorrentTyrannulet,21
Hirundinidae,Tachycineta,Tachycineta albilinea,MangroveSwallow,21
Thamnophilidae,Epinecrophylla,Epinecrophylla erythrura,Rufous-tailedStipplethroat,21
Tyrannidae,Sublegatus,Sublegatus obscurior,AmazonianScrubFlycatcher,21
Hirundinidae,Petrochelidon,Petrochelidon fulva,CaveSwallow,21
Onychorhynchidae,Myiobius,Myiobius atricaudus,Black-tailedMyiobius,21
Furnariidae,Philydor,Philydor fuscipenne,Slaty-wingedFoliage-gleaner,21
Furnariidae,Cranioleuca,Cranioleuca vulpecula,Parker'sSpinetail,21
Thraupidae,Sporophila,Sporophila atrirostris,Black-billedSeedFinch,21
Thraupidae,Cnemathraupis,Cnemathraupis eximia,Black-chestedMountainTanager,22
Thraupidae,Conothraupis,Conothraupis speculigera,Black-and-whiteTanager,22
Vireonidae,Vireo,Vireo caribaeus,SanAndresVireo,22
Furnariidae,Furnarius,Furnarius minor,LesserHornero,22
Thraupidae,Diglossa,Diglossa gloriosissima,Chestnut-belliedFlowerpiercer,22
Thraupidae,Tangara,Tangara icterocephala,Silver-throatedTanager,22
Tyrannidae,Phylloscartes,Phylloscartes superciliaris,Rufous-browedTyrannulet,22
Thraupidae,Pseudospingus,Pseudospingus verticalis,Black-headedHemispingus,22
Cotingidae,Ampelion,Ampelion rufaxilla,Chestnut-crestedCotinga,22
Turdidae,Entomodestes,Entomodestes coracinus,BlackSolitaire,22
Vireonidae,Hylophilus,Hylophilus brunneiceps,Brown-headedGreenlet,22
Thraupidae,Catamenia,Catamenia homochroa,ParamoSeedeater,22
Tityridae,Pachyramphus,Pachyramphus homochrous,One-coloredBecard,22
Tyrannidae,Fluvicola,Fluvicola albiventer,Black-backedWaterTyrant,23
Grallaridae,Grallaricula,Grallaricula cucullata,HoodedAntpitta,23
Tyrannidae,Fluvicola,Fluvicola pica,PiedWaterTyrant,23
Fringilidae,Euphonia,Euphonia luteicapilla,Yellow-crownedEuphonia,23
Tyrannidae,Tyrannus,Tyrannus niveigularis,Snowy-throatedKingbird,23
Tyrannidae,Rhytipterna,Rhytipterna immunda,Pale-belliedMourner,23
Pipridae,Corapipo,Corapipo altera,White-ruffedManakin,23
Thraupidae,Sporophila,Sporophila fringilloides,White-napedSeedeater,23
Thraupidae,Heterospingus, Heterospingus xanthopygius,Scarlet-browedTanager,23
Pipridae,Masius,Masius chrysopterus,Golden-wingedManakin,23
Tyrannidae,Knipolegus,Knipolegus poecilurus,Rufous-tailedTyrant,24
Thraupidae,Tangara,Tangara xanthocephala,Saffron-crownedTanager,24
Furnariidae,Metopothrix,Metopothrix aurantiaca,Orange-frontedPlushcrown,24
Pipridae,Pipra,Pipra filicauda,Wire-tailedManakin,24
Furnariidae,Cinclodes,Cinclodes albidiventris,Chestnut-wingedCinclodes,24
Pipridae,Xenopipo,Xenopipo atronitens,BlackManakin,24
Sapayoidae,Sapayoa,Sapayoa aenigma,Sapayoa,24
Tyrannidae,Serpophaga,Serpophaga hypoleuca,RiverTyrannulet,24
Tyrannidae,Platyrinchus,Platyrinchus flavigularis,Yellow-throatedSpadebill,24
Troglodytidae,Campylorhynchus,Campylorhynchus albobrunneus,White-headedWren,25
Tyrannidae,Elaenia,Elaenia ruficeps,Rufous-crownedElaenia,25
Tityridae,Tityra,Tityra inquisitor,Black-crownedTityra,25
Thamnophilidae,Phlegopsis,Phlegopsis erythroptera,Reddish-wingedBare-eye,25
Thamnophilidae,Ammonastes,Ammonastes pelzelni,Grey-belliedAntbird,25
Thraupidae,Ramphocelus,Ramphocelus flammigerus,Flame-rumpedTanager,25
Furnariidae,Certhiasomus,Certhiasomus stictolaemus,Spot-throatedWoodcreeper,25
Grallaridae,Grallaria,Grallaria alvarezi,ChamiAntpitta,25
Thraupidae,Anisognathus,Anisognathus notabilis,Black-chinnedMountainTanager,26
Thraupidae,Dacnis,Dacnis flaviventer,Yellow-belliedDacnis,26
Passerellidae,Atlapetes,Atlapetes leucopterus,White-wingedBrushfinch,26
Thraupidae,Parkerthraustes,Parkerthraustes humeralis,Yellow-shoulderedGrosbeak,26
Furnariidae,Cranioleuca,Cranioleuca subcristata,CrestedSpinetail,26
Tityridae,Schiffornis,Schiffornis stenorhyncha,Russet-wingedSchiffornis,26
Troglodytidae,Campylorhynchus,Campylorhynchus nuchalis,Stripe-backedWren,26
Tyrannidae,Ochthornis,Ochthornis littoralis,DrabWaterTyrant,26
Tyrannidae,Inezia,Inezia subflava,AmazonianInezia,26
Tyrannidae,Platyrinchus,Platyrinchus saturatus,Cinnamon-crestedSpadebill,27
Thamnophilidae,Myrmotherula,Myrmotherula surinamensis,GuiananStreakedAntwren,27
Furnariidae,Cinclodes,Cinclodes excelsior,Stout-billedCinclodes,27
Thraupidae,Saltator,Saltator orenocensis,OrinocoSaltator,27
Thraupidae,Bangsia,Bangsia edwardsi,Moss-backedTanager,27
Furnariidae,Lepidocolaptes,Lepidocolaptes fatimalimae,InambariWoodcreeper,27
Tyrannidae,Tolmomyias,Tolmomyias traylori,Orange-eyedFlatbill,27
Tyrannidae,Pyrocephalus,Pyrocephalus rubinus,ScarletFlycatcher,27
Tyrannidae,Rhynchocyclus,Rhynchocyclus brevirostris,Eye-ringedFlatbill,27
Thraupidae,Sporophila,Sporophila crassirostris,Large-billedSeedFinch,28
Thamnophilidae,Thamnophilus,Thamnophilus nigriceps,BlackAntshrike,28
Tyrannidae,Poecilotriccus,Poecilotriccus calopterus,Golden-wingedTody-Flycatcher,28
Tyrannidae,Mecocerculus,Mecocerculus minor,Sulphur-belliedTyrannulet,28
Fringilidae,Spinus,Spinus olivaceus,OlivaceousSiskin,28
Thraupidae,Sporophila,Sporophila bouvronides,Lesson'sSeedeater,28
Thamnophilidae,Myrmelastes,Myrmelastes humaythae,HumaitaAntbird,28
Thamnophilidae,Dysithamnus,Dysithamnus leucostictus,White-streakedAntvireo,28
Thraupidae,Diglossa,Diglossa brunneiventris,Black-throatedFlowerpiercer,28
Thamnophilidae,Euchrepomis,Euchrepomis humeralis,Chestnut-shoulderedAntwren,28
Tyrannidae,Inezia,Inezia tenuirostris,Slender-billedInezia,28
Passerellidae,Arremon,Arremon castaneiceps,OliveFinch,29
Tityridae,Iodopleura,Iodopleura isabellae,White-browedPurpletuft,29
Thraupidae,Chlorochrysa,Chlorochrysa phoenicotis,Glistening-greenTanager,29
Thraupidae,Sporophila,Sporophila intermedia,GreySeedeater,29
Fringilidae,Chlorophonia,Chlorophonia flavirostris,Yellow-collaredChlorophonia,29
Furnariidae,Clibanornis,Clibanornis rufipectus,SantaMartaFoliage-gleaner,29
Thamnophilidae,Myrmotherula,Myrmotherula ambigua,Yellow-throatedAntwren,29
Cotingidae,Snowornis,Snowornis subalaris,Grey-tailedPiha,29
Thraupidae,Cnemoscopus,Cnemoscopus rubrirostris,Grey-hoodedBushTanager,29
Tyrannidae,Inezia,Inezia caudata,Pale-tippedInezia,29
Thraupidae,Tangara,Tangara parzudakii,Flame-facedTanager,29
Rhinocryptidae,Scytalopus,Scytalopus canus,ParamilloTapaculo,29
Thraupidae,Ixothraupis,Ixothraupis punctata,SpottedTanager,30
Grallaridae,Grallaria,Grallaria dignissima,Ochre-stripedAntpitta,30
Thraupidae,Bangsia,Bangsia melanochlamys,Black-and-goldTanager,30
Thamnophilidae,Drymophila,Drymophila klagesi,Klages'sAntbird,30
Hirundinidae,Alopochelidon,Alopochelidon fucata,Tawny-headedSwallow,30
Thraupidae,Iridosornis,Iridosornis porphyrocephalus,Purplish-mantledTanager,30
Passerellidae,Atlapetes,Atlapetes fuscoolivaceus,Dusky-headedBrushfinch,30
Tyrannidae,Zimmerius,Zimmerius vilissimus,GuatemalanTyrannulet,30
Furnariidae,Leptasthenura,Leptasthenura andicola,AndeanTit-Spinetail,30
Tyrannidae,Myiophobus,Myiophobus roraimae,RoraimanFlycatcher,31
Tyrannidae,Phyllomyias,Phyllomyias plumbeiceps,Plumbeous-crownedTyrannulet,31
Cotingidae,Ampelion,Ampelion rubrocristatus,Red-crestedCotinga,31
Thraupidae,Sphenopsis,Sphenopsis frontalis,OleaginousHemispingus,31
Thraupidae,Tangara,Tangara schrankii,Green-and-goldTanager,31
Thraupidae,Ixothraupis,Ixothraupis rufigula,Rufous-throatedTanager,31
Tyrannidae,Sirystes,Sirystes albocinereus,White-rumpedSirystes,31
Troglodytidae,Troglodytes,Troglodytes ochraceus,OchraceousWren,31
Grallaridae,Hylopezus,Hylopezus fulviventris,White-loredAntpitta,31
Thraupidae,Conirostrum,Conirostrum binghami,GiantConebill,31
Fringilidae,Spinus,Spinus spinescens,AndeanSiskin,31
Cotingidae,Pipreola,Pipreola jucunda,Orange-breastedFruiteater,31
Thamnophilidae,Thamnophilus,Thamnophilus melanonotus,Black-backedAntshrike,32
Thamnophilidae,Thamnophilus,Thamnophilus praecox,CochaAntshrike,32
Thamnophilidae,Euchrepomis,Euchrepomis callinota,Rufous-rumpedAntwren,32
Onychorhynchidae,Myiobius,Myiobius barbatus,WhiskeredMyiobius,32
Conopophagidae,Pittasoma,Pittasoma rufopileatum,Rufous-crownedAntpitta,32
Thraupidae,Sporophila,Sporophila telasco,Chestnut-throatedSeedeater,32
Rhinocryptidae,Scytalopus,Scytalopus perijanus,PerijaTapaculo,32
Troglodytidae,Henicorhina,Henicorhina anachoreta,HermitWoodWren,32
Tyrannidae,Arundinicola,Arundinicola leucocephala,White-headedMarshTyrant,32
Thraupidae,Conirostrum,Conirostrum albifrons,CappedConebill,32
Thraupidae,Paroaria,Paroaria gularis,Red-cappedCardinal,32
Hirundinidae,Atticora,Atticora tibialis,White-thighedSwallow,32
Pipridae,Machaeropterus,Machaeropterus regulus,KingletManakin,33
Furnariidae,Thripophaga,Thripophaga fusciceps,PlainSofttail,33
Fringilidae,Euphonia,Euphonia trinitatis,TrinidadEuphonia,33
Furnariidae,Thripadectes,Thripadectes ignobilis,UniformTreehunter,33
Furnariidae,Ancistrops,Ancistrops strigilatus,Chestnut-wingedHookbill,33
Thamnophilidae,Euchrepomis,Euchrepomis spodioptila,Ash-wingedAntwren,34
Thraupidae,Tachyphonus,Tachyphonus surinamus,Fulvous-crestedTanager,34
Cotingidae,Phoenicircus,Phoenicircus nigricollis,Black-neckedRedCotinga,34
Passerellidae,Atlapetes,Atlapetes leucopis,White-rimmedBrushfinch,34
Thraupidae,Cyanerpes,Cyanerpes caeruleus,PurpleHoneycreeper,34
Furnariidae,Dendroma,Dendroma erythroptera,Chestnut-wingedFoliage-gleaner,34
Fringilidae,Euphonia,Euphonia concinna,Velvet-frontedEuphonia,34
Thamnophilidae,Thamnophilus,Thamnophilus cryptoleucus,Castelnau'sAntshrike,34
Tyrannidae,Myiarchus,Myiarchus apicalis,ApicalFlycatcher,34
Rhinocryptidae,Scytalopus,Scytalopus sanctaemartae,SantaMartaTapaculo,35
Icteridae,Lampropsar,Lampropsar tanagrinus,Velvet-frontedGrackle,35
Thamnophilidae,Myrmotherula,Myrmotherula assimilis,LeadenAntwren,35
Tityridae,Schiffornis,Schiffornis aenea,FoothillSchiffornis,35
Cotingidae,Lipaugus,Lipaugus weberi,Chestnut-cappedPiha,35
Tyrannidae,Oncostoma,Oncostoma olivaceum,SouthernBentbill,35
Furnariidae,Sclerurus,Sclerurus mexicanus,Tawny-throatedLeaftosser,35
Icteridae,Cacicus,Cacicus oseryi,CasquedOropendola,35
Tyrannidae,Tyrannus,Tyrannus forficatus,Scissor-tailedFlycatcher,36
Tyrannidae,Conopias,Conopias albovittatus,White-ringedFlycatcher,36
Grallaridae,Grallaricula,Grallaricula lineifrons,Crescent-facedAntpitta,36
Fringilidae,Euphonia,Euphonia fulvicrissa,Fulvous-ventedEuphonia,36
Thraupidae,Tangara,Tangara labradorides,Metallic-greenTanager,36
Thamnophilidae,Drymophila,Drymophila hellmayri,SantaMartaAntbird,36
Tyrannidae,Phyllomyias,Phyllomyias cinereiceps,Ashy-headedTyrannulet,36
Tyrannidae,Phyllomyias,Phyllomyias uropygialis,Tawny-rumpedTyrannulet,36
Tyrannidae,Myiophobus,Myiophobus phoenicomitra,Orange-crestedFlycatcher,36
Thraupidae,Iridosornis,Iridosornis analis,Yellow-throatedTanager,36
Tyrannidae,Mionectes,Mionectes striaticollis,Streak-neckedFlycatcher,36
Vireonidae,Vireolanius,Vireolanius eximius,Yellow-browedShrike-Vireo,36
Thraupidae,Conirostrum,Conirostrum cinereum,CinereousConebill,36
Furnariidae,Synallaxis,Synallaxis moesta,DuskySpinetail,36
Tyrannidae,Hemitriccus,Hemitriccus rufigularis,Buff-throatedTody-Tyrant,37
Furnariidae,Dendrocincla,Dendrocincla merula,White-chinnedWoodcreeper,37
Hirundinidae,Atticora,Atticora fasciata,White-bandedSwallow,37
Thamnophilidae,Isleria,Isleria guttata,Rufous-belliedAntwren,37
Thraupidae,Catamenia,Catamenia analis,Band-tailedSeedeater,37
Tityridae,Laniisoma,Laniisoma elegans,BrazilianLaniisoma,37
Passerellidae,Atlapetes,Atlapetes melanocephalus,SantaMartaBrushfinch,37
Furnariidae,Automolus,Automolus melanopezus,Brown-rumpedFoliage-gleaner,37
